,place_asked,name,averages
0,51,Albania,0.7007333528894104
1,54,Afghanistan,0.7660326749573275
2,56,Algeria,0.8211015538290788
3,57,Angola,0.7824490640190299
4,58,Argentina,0.8759628154050465
5,59,Armenia,0.7243976769593468
6,60,Australia,0.9505472693245619
7,61,Azerbaijan,0.7243181165661786
8,62,Bahamas,0.8271559900773384
9,63,Bangladesh,0.7433610044191137
10,64,Belgium,0.7839985141772257
11,65,Belize,0.7757917074763304
12,66,Belarus,0.8040534432572183
13,67,Benin,0.7673458149779736
14,68,Bhutan,0.7640746500777605
15,69,Bolivia,0.8117651912049832
16,70,Bosnia and Herzegovina,0.7474692997012944
17,71,Botswana,0.7479807014690736
18,72,Brazil,0.9384678635055502
19,73,Brunei,0.7114933045630514
20,74,Bulgaria,0.7266226510919248
21,75,Burkina Faso,0.7478590250329381
22,76,Burundi,0.7162180082217212
23,77,Chad,0.7896772529975504
24,78,Montenegro,0.726812712125887
25,79,Czech Rep.,0.9143242298666933
26,80,China,0.9164065350468237
27,81,Denmark,0.8017490322977041
28,82,Dem. Rep. Congo,0.8372039899489835
29,83,Dominican Rep.,0.817320503330866
30,84,Djibouti,0.7906960426606792
31,85,Egypt,0.8861277990169306
32,86,Ecuador,0.8209610379520647
33,87,Eritrea,0.7884709092681025
34,88,Estonia,0.7628423783165506
35,89,Ethiopia,0.7634552981985007
36,90,Falkland Is.,0.9122309997275947
37,91,Fiji,0.830847762986688
38,92,Philippines,0.8394401265098752
39,93,Finland,0.8063719662746676
40,94,France,0.8817104931529867
41,95,French Southern and Antarctic Lands,0.8442622950819673
42,96,Gabon,0.7023883374689827
43,97,Gambia,0.602413291292748
44,98,Ghana,0.7214065520664612
45,99,Greenland,0.9111610908068597
46,100,Georgia,0.7426172388187582
47,101,Guatemala,0.7454911500713027
48,102,Guinea,0.7063878248265866
49,103,Guinea-Bissau,0.7472176933437301
50,104,Guyana,0.7811284453553056
51,105,Haiti,0.7995395241749809
52,106,Honduras,0.7272727272727273
53,107,Chile,0.8872039396544985
54,108,Croatia,0.838348658922466
55,109,India,0.876781285857053
56,110,Indonesia,0.8283596334945279
57,111,Iraq,0.7906976744186046
58,112,Iran,0.7965198863636364
59,113,Ireland,0.845570891936752
60,114,Iceland,0.9046992886397931
61,115,Italy,0.9123196913787319
62,116,Israel,0.8097814207650273
63,117,Jamaica,0.8464860035735556
64,118,Japan,0.8706424859768058
65,119,Yemen,0.8085163776493256
66,120,South Africa,0.8876202425763279
67,121,Korea,0.8610139574412448
68,122,S. Sudan,0.8242505053980816
69,123,Jordan,0.735427262057788
70,124,Cambodia,0.7498367080339647
71,125,Cameroon,0.7422575903492321
72,126,Canada,0.9229871645274212
73,127,Qatar,0.7824007049789136
74,128,Kazakhstan,0.7872522052546713
75,129,Kenya,0.7774531397491796
76,130,Colombia,0.8350045578851413
77,131,Congo,0.7973018360949395
78,132,Costa Rica,0.7476589044501533
79,133,Cuba,0.8773030495552732
80,134,Kuwait,0.7297020147183013
81,135,Kypr,0.7915309446254072
82,136,Kyrgyzstan,0.7120065639529584
83,137,Lao PDR,0.7722254503195817
84,138,Lesotho,0.7973868585495172
85,139,Lebanon,0.6748169372811207
86,140,Liberia,0.7165616125233775
87,141,Libya,0.8192835501693103
88,142,Lithuania,0.7533214398153006
89,143,Latvia,0.7482021843201458
90,144,Luxembourg,0.7847756066136998
91,145,Madagascar,0.9298039400065824
92,146,Hungary,0.7902262443438914
93,147,Macedonia,0.6638360507246377
94,148,Malaysia,0.7797073416869902
95,149,Malawi,0.74871432893012
96,150,Mali,0.7770835539553108
97,151,Morocco,0.8413005953429387
98,152,Mauritania,0.7655223564314474
99,153,Mexico,0.9081068631966835
100,154,Moldova,0.7115337968952135
101,155,Mongolia,0.8356389362642915
102,156,Mozambique,0.7732202203953122
103,157,Myanmar,0.7632228142885337
104,158,Namibia,0.7300387692005693
105,159,Germany,0.8910838814704006
106,160,Nepal,0.7996255933676539
107,161,Niger,0.7943102942614136
108,162,Nigeria,0.7921961781041137
109,163,Nicaragua,0.7090501121914734
110,164,Netherlands,0.7738520201200714
111,165,Norway,0.8298178785983664
112,166,New Caledonia,0.824752675146376
113,167,New Zealand,0.8937195481072977
114,168,Oman,0.8030587000524777
115,169,Pakistan,0.7541116516099143
116,170,Palestine,0.5194386108692312
117,171,Panama,0.8253855447374032
118,172,Papua New Guinea,0.8475627596699631
119,173,Paraguay,0.8247761073063987
120,174,Peru,0.841590466196972
121,175,Côte d'Ivoire,0.804425481246279
122,176,Poland,0.8876443822191109
123,177,Puerto Rico,0.7342146460253958
124,178,Portugal,0.844356339151236
125,179,Austria,0.834799460000871
126,180,Eq. Guinea,0.834257437548441
127,181,Romania,0.7415905046561048
128,182,Russia,0.9246094212833663
129,183,Rwanda,0.7562136060218719
130,184,Greece,0.8668247381940328
131,185,El Salvador,0.7410963687150838
132,186,Saudi Arabia,0.8358702214878134
133,187,Senegal,0.7508204633204634
134,188,Dem. Rep. Korea,0.8591042608666952
135,189,Sierra Leone,0.7250909599776099
136,190,Slovakia,0.8894840345702013
137,191,Slovenia,0.7711589324356817
138,192,Somalia,0.8345079240153114
139,193,United Arab Emirates,0.8281548626658658
140,194,United Kingdom,0.9085580304806565
141,195,United States,0.9218345085276924
142,196,Serbia,0.6168331054535385
143,197,Central African Rep.,0.8404545100786054
144,198,Sudan,0.8071996968548693
