id;prediction
0;0.6221003830432892
1;49.709486961364746
2;47.80530333518982
3;51.13057494163513
4;51.97606086730957
5;51.52791142463684
6;52.20460891723633
7;47.14503288269043
8;46.72046899795532
9;49.350616335868835
10;49.196359515190125
11;52.54262089729309
12;46.186187863349915
13;50.76180696487427
14;55.945587158203125
15;50.57868957519531
16;50.413334369659424
17;47.242745757102966
18;49.82441067695618
19;46.507757902145386
20;45.50769031047821
21;53.208744525909424
22;50.39065480232239
23;51.13767385482788
24;49.268704652786255
25;51.36933922767639
26;51.41310095787048
27;55.66491484642029
28;55.13584017753601
29;52.56940722465515
30;51.32061839103699
31;51.30695700645447
32;52.14915871620178
33;49.32308495044708
34;48.8173633813858
35;49.707576632499695
36;49.83885586261749
37;47.86767363548279
38;48.05634021759033
39;49.606117606163025
40;54.28460240364075
41;52.565884590148926
42;46.85962796211243
43;49.03489947319031
44;45.07441222667694
45;53.033965826034546
46;49.450209736824036
47;48.19830358028412
48;47.801947593688965
49;44.372740387916565
50;52.476656436920166
51;69.4956362247467
52;51.13434195518494
53;47.87062406539917
54;76.17028951644897
55;51.67814493179321
56;83.32722783088684
57;72.20951914787292
58;87.65169382095337
59;71.93336486816406
60;97.2041666507721
61;80.06589412689209
62;76.20202898979187
63;73.20237159729004
64;82.58901834487915
65;74.26223158836365
66;81.13982081413269
67;75.32920837402344
68;78.49274277687073
69;81.44274950027466
70;73.52439761161804
71;74.07323122024536
72;95.1792299747467
73;74.03390407562256
74;74.98108148574829
75;72.23957777023315
76;63.79908323287964
77;78.9686381816864
78;72.31225967407227
79;94.84395384788513
80;96.65330648422241
81;86.03717088699341
82;85.61905026435852
83;80.86645603179932
84;67.73082613945007
85;90.97582697868347
86;82.29729533195496
87;76.14821791648865
88;71.50304913520813
89;78.34713459014893
90;89.95612859725952
91;74.994957447052
92;77.14892625808716
93;84.98316407203674
94;94.45018172264099
95;78.59808206558228
96;64.38798904418945
97;54.35599684715271
98;71.93840146064758
99;93.73205304145813
100;68.9460813999176
101;71.53360247612
102;69.41252946853638
103;73.16582202911377
104;73.36121201515198
105;79.56733107566833
106;71.01198434829712
107;92.72476434707642
108;89.51460719108582
109;92.42658019065857
110;86.80543303489685
111;81.81787133216858
112;81.41911625862122
113;88.53577375411987
114;90.82393646240234
115;95.78468203544617
116;79.76163625717163
117;81.87686204910278
118;92.02091097831726
119;78.8956344127655
120;91.25807285308838
121;88.35074305534363
122;82.49576091766357
123;71.12269401550293
124;74.21547174453735
125;71.27150893211365
126;94.63900327682495
127;76.57846212387085
128;79.58462834358215
129;77.73396372795105
130;86.47679686546326
131;74.52601790428162
132;76.7929196357727
133;86.23220920562744
134;75.95029473304749
135;70.1210618019104
136;66.09708070755005
137;73.8523006439209
138;72.68880009651184
139;66.20072722434998
140;69.38366293907166
141;82.25718140602112
142;72.30513095855713
143;74.31166172027588
144;78.6730408668518
145;95.75201272964478
146;86.19192242622375
147;66.11536741256714
148;73.41706156730652
149;71.43790125846863
150;81.32126927375793
151;84.70085859298706
152;69.32398080825806
153;94.92440223693848
154;74.75271821022034
155;85.43425798416138
156;78.18621397018433
157;77.40764617919922
158;75.09328722953796
159;93.47418546676636
160;86.40552759170532
161;76.07313990592957
162;78.24805974960327
163;68.19486618041992
164;78.69802117347717
165;88.74239921569824
166;75.65060257911682
167;89.68045115470886
168;79.67312335968018
169;81.82495832443237
170;44.891053438186646
171;84.93643999099731
172;83.31830501556396
173;80.82329630851746
174;82.95842409133911
175;75.54757595062256
176;94.87424492835999
177;70.04313468933105
178;93.15553903579712
179;90.50568342208862
180;80.5053174495697
181;81.9859266281128
182;96.20359539985657
183;70.52001953125
184;91.19294285774231
185;68.75714063644409
186;87.65678405761719
187;76.29379034042358
188;90.56845903396606
189;69.4334626197815
190;92.61659979820251
191;79.95167374610901
192;87.34356760978699
193;82.22023844718933
194;93.7025785446167
195;92.79876351356506
196;58.16476345062256
197;81.31143450737
198;83.10112953186035
199;74.8671293258667
200;72.02516198158264
201;76.19640231132507
202;73.23901653289795
203;93.81886124610901
204;88.77562880516052
205;85.0221037864685
206;87.56685853004456
207;66.24932289123535
208;71.62511944770813
209;75.63292384147644
210;77.9583215713501
211;74.31275248527527
212;85.50769686698914
213;92.22300052642822
214;68.79537105560303
215;71.32987976074219
216;87.07254528999329
217;83.38758945465088
218;73.72568249702454
219;86.16448640823364
220;83.99431705474854
221;68.33425760269165
222;71.52471542358398
223;75.8937656879425
